TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,LOGICAL_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,KEY_POSITION,DESCRIPTION
172.16.0.13/cobol_analysis_db,public,analysis_logs,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,analysis_logs,timestamp,,2,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_logs,level,,3,,YES,character varying(10),,
172.16.0.13/cobol_analysis_db,public,analysis_logs,message,,4,,YES,text,,
172.16.0.13/cobol_analysis_db,public,analysis_results,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,analysis_results,file_name,,2,,NO,text,,
172.16.0.13/cobol_analysis_db,public,analysis_results,total_lines,,3,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,blank_lines,,4,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,comment_lines,,5,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,file_operations,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,loops,,7,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,nested_levels,,8,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_results,keyword_counts,,9,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,variables,,10,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,literals,,11,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,dependencies,,12,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,perform_statements,,13,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,goto_statements,,14,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_results,timestamp,,15,,NO,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,source_id,,1,gen_random_uuid(),NO,uuid,1,
172.16.0.13/cobol_analysis_db,public,analysis_sources,task_id,,2,,YES,uuid,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_path,,3,,NO,text,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_type,,4,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_hash,,5,,NO,character varying(64),,
172.16.0.13/cobol_analysis_db,public,analysis_sources,file_size,,6,,NO,bigint,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,encoding,,7,,YES,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_sources,line_count,,8,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,metadata,,9,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_sources,created_at,,10,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,task_type,,2,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,status,,3,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,target_sources,,4,,NO,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,task_parameters,,5,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,error_detail,,6,,YES,text,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,started_at,,7,,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,completed_at,,8,,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,created_at,,9,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,analysis_tasks,updated_at,,10,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_category,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_key,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_value,,4,,YES,text,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,benchmark_description,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,standard_type,,6,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,update_user,,7,,YES,character varying(50),,
172.16.0.13/cobol_analysis_db,public,benchmark_master,created_at,,8,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,benchmark_master,updated_at,,9,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,dashboard_master,dashboard_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,dashboard_master,component_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,dashboard_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,dashboard_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,display_order,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,is_required,,7,false,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,layout_config,,8,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,style_config,,9,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,description,,10,,YES,text,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,is_active,,11,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,created_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,dashboard_master,updated_at,,13,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,document_master,document_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,document_master,document_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,document_master,section_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,document_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,document_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,document_master,display_order,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,document_master,template_path,,7,,YES,text,,
172.16.0.13/cobol_analysis_db,public,document_master,format_config,,8,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,document_master,description,,9,,YES,text,,
172.16.0.13/cobol_analysis_db,public,document_master,is_active,,10,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,document_master,created_at,,11,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,document_master,updated_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,environment_master,id,,1,,NO,serial,,
172.16.0.13/cobol_analysis_db,public,environment_master,env_key,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,environment_master,env_value,,3,,YES,text,,
172.16.0.13/cobol_analysis_db,public,environment_master,env_description,,4,,YES,text,,
172.16.0.13/cobol_analysis_db,public,environment_master,update_user,,5,,YES,character varying(50),,
172.16.0.13/cobol_analysis_db,public,environment_master,created_at,,6,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,environment_master,updated_at,,7,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,logs,id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,logs,file_name,,2,,YES,character varying(255),,
172.16.0.13/cobol_analysis_db,public,logs,log_content,,3,,YES,text,,
172.16.0.13/cobol_analysis_db,public,logs,start_time,,4,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,logs,end_time,,5,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,logs,created_at,,6,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,metadata,file_name,,2,,YES,character varying(255),,
172.16.0.13/cobol_analysis_db,public,metadata,file_size,,3,,YES,bigint,,
172.16.0.13/cobol_analysis_db,public,metadata,line_count,,4,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,division_count,,5,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,metadata,procedure_count,,6,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,variable_count,,7,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,comment_line_count,,8,,YES,integer,,
172.16.0.13/cobol_analysis_db,public,metadata,last_modified,,9,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,processing_duration,,10,,YES,interval,,
172.16.0.13/cobol_analysis_db,public,metadata,start_time,,11,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,end_time,,12,,YES,timestamp(6) without time zone,,
172.16.0.13/cobol_analysis_db,public,metadata,additional_info,,13,,YES,jsonb,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,analysis_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,analysis_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,process_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,data_type,,6,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,default_value,,7,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,is_required,,8,false,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,validation_rule,,9,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,description,,10,,YES,text,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,is_active,,11,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,created_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,single_analysis_master,updated_at,,13,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,summary_id,,1,,NO,serial,1,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,analysis_type,,2,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,process_type,,3,,NO,character varying(50),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,parameter_name,,4,,NO,character varying(100),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,parameter_value,,5,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,data_type,,6,,NO,character varying(20),,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,default_value,,7,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,is_required,,8,false,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,validation_rule,,9,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,description,,10,,YES,text,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,is_active,,11,true,YES,boolean,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,created_at,,12,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,updated_at,,13,CURRENT_TIMESTAMP,YES,timestamp(6) with time zone,,
